@relation dataset_v3_10_12

@attribute household_key numeric
@attribute products_purchased numeric
@attribute no_of_stores numeric
@attribute no_of_orders numeric
@attribute total_visits numeric
@attribute no_of_national_products numeric
@attribute recency numeric
@attribute weekend_visits numeric
@attribute BrandNationalPercent numeric
@attribute PercentWeekendVisits numeric
@attribute Average_Basket_Size numeric
@attribute AGE_INDEX numeric
@attribute INCOME_INDEX numeric
@attribute HOUSEHOLD_SIZE_INDEX numeric
@attribute total_sales_log numeric
@attribute total_sales_class {Medium,Low,High}

@data
136,1485,2,77,68,852,18,25,57,37,19.285714,4,5,1,7.939095,Medium
1363,1651,2,56,48,997,1,23,60,48,29.482143,2,2,2,8.306077,Medium
1364,1005,4,145,138,718,2,39,71,28,6.931034,6,7,1,7.810373,Low
1367,4273,9,273,225,2657,2,106,62,47,15.652015,3,6,3,9.19044,High
1369,1152,2,144,136,835,1,48,72,35,8,2,1,1,8.040998,Medium
1370,3689,4,84,82,1895,1,81,51,99,43.916667,6,3,2,9.051566,High
1376,3770,4,146,125,2107,6,39,56,31,25.821918,5,5,1,8.985201,High
1378,3079,7,117,114,1487,5,44,48,39,26.316239,2,7,1,8.830132,Medium
1382,1139,2,116,111,743,6,17,65,15,9.818966,4,5,2,8.033487,Medium
1388,2749,5,127,115,1585,3,48,58,42,21.645669,3,7,3,8.72191,Medium
1389,979,1,41,39,573,11,2,59,5,23.878049,6,7,2,7.951968,Medium
139,1501,4,70,62,780,2,32,52,52,21.442857,3,6,1,7.936567,Medium
1391,2793,9,103,101,1390,4,34,50,34,27.116505,4,5,2,8.723241,Medium
1393,2262,8,202,188,1485,4,53,66,28,11.19802,3,9,1,8.686595,Medium
1394,1854,2,151,144,1266,5,51,68,35,12.278146,4,5,2,8.387444,Medium
1396,3239,4,208,192,1418,92,51,44,27,15.572115,6,8,2,8.802801,Medium
1397,2713,13,275,241,1816,4,69,67,29,9.865455,4,4,1,8.635083,Medium
1402,982,3,157,152,467,3,52,48,34,6.254777,5,2,1,7.596071,Low
